id,name,start_date,end_date,replaces,replaced_by
Q437951,Juan Francisco de Molina,1839-01-11,1839-04-13,,Q1403211
Q1403211,Felipe Neri Medina,1839-04-13,1839-04-15,Q437951,Q1265762
Q1265762,Juan José Alvarado,1839-04-15,1839-04-27,Q1403211,Q435382
Q435382,José María Guerrero de Arcos y Molina,1839-04-27,1839-08-10,Q1265762,Q1664032
Q1664032,Mariano Garrigó,1839-08-10,1839-08-20,Q435382,Q887866
Q887866,José María Bustillo (Honduran),1839-08-20,1839-08-27,Q1664032,
,,1839-08-27,1839-09-21,Q887866,Q887862
Q887862,Francisco Zelaya y Ayes,1839-09-21,1841-01-01,,Q887531
Q887531,Francisco Ferrera,1841-01-01,1842-12-31,Q887862,
,,1843-01-01,1843-02-23,Q887531,Q887531
Q887531,Francisco Ferrera,1843-02-23,1844-12-31,,
,,1845-01-01,1845-01-08,Q887531,Q887873
Q887873,Coronado Chávez,1845-01-08,1847-01-01,,
,,1847-01-01,1847-02-12,Q887873,Q718333
Q718333,Juan Lindo,1847-02-12,1852-02-01,,Q5939792
Q5939792,Francisco Gómez (acting president),1852-02-01,1852-03-01,Q718333,Q881007
Q881007,José Trinidad Cabañas,1852-03-01,1855-10-18,Q5939792,Q887849
Q887849,José Santiago Bueso,1855-10-18,1855-11-08,Q881007,Q887582
Q887582,Francisco de Aguilar (politician),1855-11-08,1856-02-17,Q887849,Q916426
Q916426,José Santos Guardiola,1856-02-17,1862-01-11,Q887582,Q1709199
Q1709199,José Francisco Montes,1862-01-11,1862-02-04,Q916426,Q2522853
Q2522853,Victoriano Castellanos,1862-02-04,1862-12-11,Q1709199,Q1709199
Q1709199,José Francisco Montes,1862-12-11,1863-09-07,Q2522853,Q887800
Q887800,José María Medina,1863-09-07,1863-12-31,Q1709199,Q887640
Q887640,Francisco Inestroza,1863-12-31,1864-03-15,Q887800,Q5865500
Q5865500,Francisco Cruz Castro,1869-09-05,1870-01-14,Q887640,Q887800
Q887800,José María Medina,1864-03-15,1872-07-26,Q5865500,Q438898
Q438898,Céleo Arias,1872-07-26,1874-01-13,Q887800,Q438324
Q438324,Ponciano Leiva,1874-01-13,1876-06-08,Q438898,Q6756319
Q6756319,Marcelino Mejía,1876-06-08,1876-06-13,Q438324,Q887664
Q887664,Crescencio Gómez,1876-06-13,1876-08-12,Q6756319,Q887800
Q887800,José María Medina,1876-08-12,1876-08-27,Q887664,Q888054
Q888054,Marco Aurelio Soto,1876-08-27,1883-10-19,Q887800,
,,1883-10-19,1883-11-30,Q888054,Q433809
Q433809,Luis Bográn,1883-11-30,1891-11-30,,Q438324
Q438324,Ponciano Leiva,1891-11-30,1893-08-07,Q433809,Q507922
Q507922,Domingo Vásquez,1893-08-07,1894-02-22,Q438324,Q433531
Q433531,Policarpo Bonilla,1894-02-22,1899-02-01,Q507922,Q433553
Q433553,Terencio Sierra,1899-02-01,1903-02-01,Q433531,Q5953737
Q5953737,Juan Ángel Arias Boquín,1903-02-01,1903-04-13,Q433553,Q881518
Q881518,Manuel Bonilla,1903-04-13,1907-02-25,Q5953737,Q433873
Q433873,Miguel Oquelí Bustillo,1907-02-25,1907-04-18,Q881518,Q881119
Q881119,Miguel R. Dávila,1907-04-18,1911-03-28,Q433873,Q433525
Q433525,Francisco Bertrand,1911-03-28,1912-02-01,Q881119,Q881518
Q881518,Manuel Bonilla,1912-02-01,1913-03-21,Q433525,Q433525
Q433525,Francisco Bertrand,1913-03-21,1919-09-09,Q881518,Q7406380
Q7406380,Salvador Aguirre (Honduras),1919-09-09,1919-09-16,Q433525,Q438437
Q438437,Vicente Mejía Colindres,1919-09-16,1919-10-05,Q7406380,Q433698
Q433698,Francisco Bográn,1919-10-05,1920-02-01,Q438437,Q178575
Q178575,Rafael López Gutiérrez,1920-02-01,1924-03-10,Q433698,Q887587
Q887587,Francisco Bueso,1924-03-10,1924-04-27,Q178575,Q562044
Q562044,Tiburcio Carías Andino,1924-04-27,1924-04-30,Q887587,Q881114
Q881114,Vicente Tosta,1924-04-30,1925-02-01,Q562044,Q881094
Q881094,Miguel Paz Barahona,1925-02-01,1929-02-01,Q881114,Q438437
Q438437,Vicente Mejía Colindres,1929-02-01,1933-02-01,Q881094,Q562044
Q562044,Tiburcio Carías Andino,1933-02-01,1949-01-01,Q438437,Q881133
Q881133,Juan Manuel Gálvez,1949-01-01,1954-12-05,Q562044,Q126819
Q126819,Julio Lozano Díaz,1954-12-05,1956-10-21,Q881133,Q6852041
Q6852041,Honduran military junta of 1956–1957,1956-10-21,1957-12-21,Q126819,Q783111
Q783111,Ramón Villeda Morales,1957-12-21,1963-10-03,Q6852041,Q371186
Q371186,Oswaldo López Arellano,1963-10-03,1971-06-07,Q783111,Q880586
Q880586,Ramón Ernesto Cruz Uclés,1971-06-07,1972-12-04,Q371186,Q371186
Q371186,Oswaldo López Arellano,1972-12-04,1975-04-22,Q880586,Q880056
Q880056,Juan Alberto Melgar Castro,1975-04-22,1978-08-07,Q371186,Q880335
Q880335,Policarpo Paz García,1978-08-07,1982-01-27,Q880056,Q881507
Q881507,Roberto Suazo Córdova,1982-01-27,1986-01-27,Q880335,Q887424
Q887424,José Azcona del Hoyo,1986-01-27,1990-01-27,Q881507,Q887322
Q887322,Rafael Leonardo Callejas Romero,1990-01-27,1994-01-27,Q887424,Q879219
Q879219,Carlos Roberto Reina,1994-01-27,1998-01-27,Q887322,Q654177
Q654177,Carlos Roberto Flores,1998-01-27,2002-01-27,Q879219,Q441393
Q441393,Ricardo Maduro,2002-01-27,2006-01-27,Q654177,Q191060
Q191060,Manuel Zelaya,2006-01-27,2009-06-28,Q441393,Q299442
Q299442,Roberto Micheletti,2009-06-28,2010-01-27,Q191060,Q4737
Q4737,Porfirio Lobo Sosa,2010-01-27,2014-01-27,Q299442,Q5951723
Q5951723,Juan Orlando Hernández,2014-01-27,,Q4737,
